A¤o;C¢d_loc;localidad;Sector publico;sector_privado;denominador;Cobertura
2019;17;Candelaria;1782;;5353;33,3
2019;18;Rafael Uribe;29075;;61758;47,1
2019;19;Ciudad Bol¡var;60515;;122076;49,6
2019;20;Sumapaz;511;;627;81,5
2019;0;Distrito;380760;410097;1210820;65,3
2020;1;Usaqu‚n;6071;;76392;7,9
2020;2;Chapinero;3095;;25550;12,1
2020;3;Santa Fe;9218;;27474;33,6
2020;4;San Cristobal;30393;;77402;39,3
2020;5;Usme;27820;;71088;39,1
2020;6;Tunjuelito;9470;;27620;34,3
2020;7;Bosa;22954;;88445;26
2020;8;Kennedy;15091;;146906;10,3
2020;9;Fontib¢n;9408;;99455;9,5
2020;10;Engativ ;20630;;120303;17,1
2020;11;Suba;22462;;127180;17,7
2020;12;Barrios Unidos;3148;;34612;9,1
2020;13;Teusaquillo;695;;20068;3,5
2020;14;Los M rtires;3415;;15379;22,2
2020;15;Antonio Nari¤o;2940;;15133;19,4
2020;16;Puente Aranda;5067;;47999;10,6
2020;17;Candelaria;1683;;5353;31,4
2020;18;Rafael Uribe;20431;;61758;33,1
2020;19;Ciudad Bol¡var;35559;;122076;29,1
2020;20;Sumapaz;357;;627;56,9
2020;0;Distrito;249907;414162;1210820;54,8
2021;1;Usaqu‚n;13817;;76392;18,1
2021;2;Chapinero;5352;;25550;20,9
2021;3;Santa Fe;14583;;27474;53,1
2021;4;San Cristobal;53321;;77402;68,9
2021;5;Usme;56734;;71088;79,8
2021;6;Tunjuelito;16180;;27620;58,6
2021;7;Bosa;31797;;88445;36
2021;8;Kennedy;29966;;146906;20,4
2021;9;Fontib¢n;18674;;99455;18,8
2021;10;Engativ ;37035;;120303;30,8
2021;11;Suba;42173;;127180;33,2
2021;12;Barrios Unidos;6687;;34612;19,3
2021;13;Teusaquillo;964;;20068;4,8
2021;14;Los M rtires;6308;;15379;41
2021;15;Antonio Nari¤o;5614;;15133;37,1
2021;16;Puente Aranda;13950;;47999;29,1
2021;17;Candelaria;2456;;5353;45,9
2021;18;Rafael Uribe;47540;;61758;77
2021;19;Ciudad Bol¡var;87651;;122076;71,8
2021;20;Sumapaz;727;;627;115,9
2021;0;Distrito;491529;489402;1210820;81
2022;1;Usaqu‚n;13225;41917;87762;62,8
2022;2;Chapinero;4647;14225;27424;68,8
2022;3;Santa Fe;6015;4320;25885;39,9
2022;4;San Cristobal;44891;15861;77663;78,2
2022;5;Usme;43953;9480;73224;73
2022;6;Tunjuelito;12008;7570;31980;61,2
2022;7;Bosa;35833;32173;98236;69,2
2022;8;Kennedy;31835;70278;169986;60,1
2022;9;Fontib¢n;16436;54498;115992;61,2
2022;10;Engativ ;34281;63181;146122;66,7
2022;11;Suba;35432;67680;146405;70,4
2022;12;Barrios Unidos;5193;19835;38152;65,6
2022;13;Teusaquillo;1341;14647;23933;66,8
2022;14;Los M rtires;3132;6747;15773;62,6
2022;15;Antonio Nari¤o;6005;7289;16770;79,3
2022;16;Puente Aranda;13699;367;47999;29,3
2022;17;Candelaria;754;1244;5125;39
2022;18;Rafael Uribe;35829;11294;62293;75,6
2022;19;Ciudad Bol¡var;64640;26949;125020;73,3
2022;20;Sumapaz;511;0;627;81,5
2022;0;Distrito;409660;469555;1336371;65,8
2023;1;Usaqu‚n;14758;53817;92150;74,4
2023;2;Chapinero;5740;16719;28796;78
2023;3;Santa Fe;10620;2304;27179;47,6
2023;4;San Cristobal;45594;10366;81546;68,6
2023;5;Usme;47910;8441;76885;73,3
2023;6;Tunjuelito;14936;9057;33579;71,5
2023;7;Bosa;44136;22618;103148;64,7
2023;8;Kennedy;40712;54429;178485;53,3
2023;9;Fontib¢n;17853;24330;121792;34,6
2023;10;Engativ ;39401;49579;153428;58
2023;11;Suba;41802;72684;153725;74,5
2023;12;Barrios Unidos;5386;51915;40059;143
2023;13;Teusaquillo;1764;15518;25130;68,8
2023;14;Los M rtires;5310;12114;16562;105,2
2023;15;Antonio Nari¤o;6110;12173;17609;103,8
2023;16;Puente Aranda;14302;14063;50399;56,3
2023;17;Candelaria;1700;5079;5382;126
2023;18;Rafael Uribe;35827;10635;65407;71
2023;19;Ciudad Bol¡var;79001;11781;131271;69,2
2023;20;Sumapaz;400;0;658;60,8
2023;0;Distrito;473262;457622;1403190;66,3
2024;1;Usaqu‚n;15125;48683;96758;65,9
2024;2;Chapinero;5602;10400;30236;52,9
2024;3;Santa Fe;10429;7592;28538;63,1
2024;4;San Cristobal;53171;7943;85624;71,4
2024;5;Usme;50113;7820;80730;71,8
2024;6;Tunjuelito;11898;10310;35258;63
2024;7;Bosa;45983;19885;108306;60,8
2024;8;Kennedy;46001;48135;187410;50,2
2024;9;Fontib¢n;16213;24528;127881;31,9
2024;10;Engativ ;44400;44621;161099;55,3
